City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Elizabeth,ZA,62.6,light rain,-33.92,25.57,39 On Nile Guest House
2,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
3,Mar Del Plata,AR,78.8,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata
4,Clarence Town,AU,82.0,overcast clouds,-32.58,151.78,River Downs Cottage
5,New Norfolk,AU,61.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
6,Alice Springs,AU,60.8,light intensity shower rain,-23.7,133.88,Desert Palms Alice Springs
9,Port Lincoln,AU,63.39,overcast clouds,-34.73,135.87,Port Lincoln Hotel
10,Kavieng,PG,84.85,light rain,-2.57,150.8,Nusa Island Retreat
13,Hirara,JP,75.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
14,Rikitea,PF,78.73,scattered clouds,-23.12,-134.97,Pension Maro'i
15,Bulawayo,ZW,70.23,overcast clouds,-20.15,28.58,4 On Housman Backpackers
16,Beaumont,US,69.8,overcast clouds,30.09,-94.1,Super 8 by Wyndham Beaumont
17,Nombre De Dios,MX,64.4,scattered clouds,23.85,-104.23,Uraján de Luna Hotel Boutique & SPA
19,Pisco,PE,68.0,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
20,Kiama,AU,77.0,broken clouds,-34.68,150.87,The Sebel Kiama Harbourside
23,Paita,PE,68.18,overcast clouds,-5.09,-81.11,Hotel Náutico de Paita
26,Port Alfred,ZA,64.0,light rain,-33.59,26.89,The Halyards Hotel
28,Ventersburg,ZA,62.22,few clouds,-28.09,27.14,Palms Guesthouse
38,Hobart,AU,61.0,light intensity shower rain,-42.88,147.33,St Ives Hobart Accommodation Tasmania
41,Butaritari,KI,81.05,broken clouds,3.07,172.79,Isles Sunset Lodge
42,Ewa Beach,US,82.4,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
44,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
45,Gizo,SB,85.03,light rain,-8.1,156.84,Imagination Island
46,Busselton,AU,84.04,clear sky,-33.65,115.33,Observatory Guest House
47,Geraldton,AU,93.2,clear sky,-28.77,114.6,Broadwater Mariner Resort
56,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
