City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.92,25.57,62.6,100,75,12.75,light rain
1,Ushuaia,AR,-54.8,-68.3,46.4,61,20,28.86,few clouds
2,Georgetown,MY,5.41,100.34,84.2,83,20,3.36,few clouds
3,Mar Del Plata,AR,-38.0,-57.56,78.8,29,75,9.17,broken clouds
4,Clarence Town,AU,-32.58,151.78,82.0,53,100,10.29,overcast clouds
5,New Norfolk,AU,-42.78,147.06,61.0,62,94,3.0,overcast clouds
6,Alice Springs,AU,-23.7,133.88,60.8,100,90,11.41,light intensity shower rain
7,Ribeira Grande,PT,38.52,-28.7,56.55,64,6,16.33,clear sky
8,Awbari,LY,26.59,12.78,50.22,68,0,8.39,clear sky
9,Port Lincoln,AU,-34.73,135.87,63.39,68,95,12.08,overcast clouds
10,Kavieng,PG,-2.57,150.8,84.85,68,91,3.29,light rain
11,Northam,GB,51.03,-4.22,46.0,84,59,20.0,broken clouds
12,Khatanga,RU,71.97,102.5,-26.72,85,100,9.31,overcast clouds
13,Hirara,JP,24.8,125.28,75.2,94,75,4.7,broken clouds
14,Rikitea,PF,-23.12,-134.97,78.73,64,38,7.0,scattered clouds
15,Bulawayo,ZW,-20.15,28.58,70.23,80,100,4.36,overcast clouds
16,Beaumont,US,30.09,-94.1,69.8,94,90,11.41,overcast clouds
17,Nombre De Dios,MX,23.85,-104.23,64.4,10,40,6.93,scattered clouds
18,Provideniya,RU,64.38,-173.3,19.4,79,90,11.18,light snow
19,Pisco,PE,-13.7,-76.22,68.0,82,0,17.22,clear sky
20,Kiama,AU,-34.68,150.87,77.0,71,53,11.99,broken clouds
21,Ponta Delgada,PT,37.73,-25.67,55.4,62,40,20.8,scattered clouds
22,Bereda,ES,43.27,-7.54,39.0,100,33,1.01,scattered clouds
23,Paita,PE,-5.09,-81.11,68.18,83,100,12.28,overcast clouds
24,Kodiak,US,57.79,-152.41,33.8,74,90,5.82,overcast clouds
25,Albany,US,42.6,-73.97,37.0,60,89,8.68,overcast clouds
