City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Torbay,CA,2020-12-23 17:20:32,47.67,-52.73,37.99,74,75,18.34
1,Upernavik,GL,2020-12-23 17:20:32,72.79,-56.15,16.95,96,77,5.53
2,Pueblo Nuevo Vinas,GT,2020-12-23 17:20:33,14.23,-90.47,73.99,64,40,11.41
3,Husavik,IS,2020-12-23 17:20:33,66.04,-17.34,15.8,72,0,1.12
4,Vaini,TO,2020-12-23 17:20:33,-21.2,-175.2,77.0,94,40,3.36
5,Mataura,NZ,2020-12-23 17:20:33,-46.19,168.86,54.0,98,100,1.99
6,Segezha,RU,2020-12-23 17:19:35,63.74,34.32,30.97,96,100,16.2
7,Albany,US,2020-12-23 17:18:14,42.6,-73.97,34.0,52,33,4.83
8,Avarua,CK,2020-12-23 17:20:34,-21.21,-159.78,71.6,78,100,3.36
9,Kodiak,US,2020-12-23 17:17:00,57.79,-152.41,32.0,85,1,8.05
10,Punta Arenas,CL,2020-12-23 17:17:52,-53.15,-70.92,60.8,44,0,23.04
11,Bluff,NZ,2020-12-23 17:20:34,-46.6,168.33,54.0,98,98,1.99
12,Pokrovskoye,RU,2020-12-23 17:20:35,47.42,38.9,24.01,92,90,11.01
13,Kapaa,US,2020-12-23 17:20:35,22.08,-159.32,66.2,88,1,10.29
14,Saldanha,ZA,2020-12-23 17:20:35,-33.01,17.94,71.6,64,14,12.75
15,Yulara,AU,2020-12-23 17:20:35,-25.24,130.99,71.6,37,0,10.29
16,Nancha,CN,2020-12-23 17:20:36,47.13,129.27,11.28,94,100,2.75
17,Saint-Joseph,RE,2020-12-23 17:20:36,-21.37,55.62,78.8,74,0,18.34
18,Waingapu,ID,2020-12-23 17:20:36,-9.66,120.26,78.94,78,85,4.47
19,Yellowknife,CA,2020-12-23 17:20:36,62.46,-114.35,-11.2,76,75,14.99
20,Jijiga,ET,2020-12-23 17:20:37,9.35,42.8,64.02,50,0,8.88
21,Banda Aceh,ID,2020-12-23 17:20:37,5.56,95.32,76.77,82,99,9.71
22,Danielskuil,ZA,2020-12-23 17:20:37,-28.19,23.54,76.64,23,0,12.75
23,Bethel,US,2020-12-23 17:20:37,41.37,-73.41,39.0,51,1,3.4
24,Ambovombe,MG,2020-12-23 17:20:38,-25.17,46.08,79.21,69,44,5.41
25,Coracora,PE,2020-12-23 17:20:38,-15.03,-73.78,63.23,41,78,9.64
26,Yanahuanca,PE,2020-12-23 17:20:38,-10.52,-76.5,49.26,72,97,8.05
27,Bathsheba,BB,2020-12-23 17:20:38,13.22,-59.52,86.0,66,40,19.46
28,Ambilobe,MG,2020-12-23 17:20:38,-13.2,49.05,77.68,84,20,1.5
29,Ribeira Grande,PT,2020-12-23 17:20:39,38.52,-28.7,59.0,62,40,18.34
30,Ushuaia,AR,2020-12-23 17:20:39,-54.8,-68.3,60.8,38,40,20.8
31,Dikson,RU,2020-12-23 17:20:39,73.51,80.55,-16.13,87,89,10.38
32,Tuktoyaktuk,CA,2020-12-23 17:20:39,69.45,-133.04,-4.0,83,90,17.22
33,Chake Chake,TZ,2020-12-23 17:20:40,-5.25,39.77,80.04,80,9,10.16
34,Muroto,JP,2020-12-23 17:20:40,33.28,134.15,52.93,62,69,7.85
35,Atuona,PF,2020-12-23 17:20:40,-9.8,-139.03,78.28,78,25,17.18
36,Bredasdorp,ZA,2020-12-23 17:20:40,-34.53,20.04,71.6,60,0,20.8
37,East London,ZA,2020-12-23 17:20:40,-33.02,27.91,71.6,73,20,20.8
38,Thompson,CA,2020-12-23 17:20:41,55.74,-97.86,-18.4,75,90,4.7
39,Walvis Bay,NA,2020-12-23 17:20:41,-22.96,14.51,66.2,77,21,13.87
40,Rikitea,PF,2020-12-23 17:20:41,-23.12,-134.97,76.64,68,3,4.85
41,Boshkengash,TJ,2020-12-23 17:20:41,38.47,68.81,35.6,74,75,2.24
42,Santa Fe,AR,2020-12-23 17:18:10,-31.63,-60.7,91.99,25,0,5.99
43,Airai,TL,2020-12-23 17:20:42,-8.93,125.41,59.5,100,90,1.28
44,Hasaki,JP,2020-12-23 17:20:42,35.73,140.83,43.0,80,75,4.7
45,Tutoia,BR,2020-12-23 17:20:42,-2.76,-42.27,89.6,59,20,18.34
46,Kungurtug,RU,2020-12-23 17:20:43,50.6,97.52,-1.86,85,99,2.77
47,Klaksvik,FO,2020-12-23 17:20:43,62.23,-6.59,32.0,85,100,9.17
48,Claveria,PH,2020-12-23 17:20:43,18.61,121.08,77.43,85,10,3.6
49,Pevek,RU,2020-12-23 17:20:43,69.7,170.31,-2.43,90,100,8.63
50,Nome,US,2020-12-23 17:18:19,64.5,-165.41,26.6,86,90,11.41
51,Coquimbo,CL,2020-12-23 17:15:47,-29.95,-71.34,60.8,77,90,10.29
52,Mount Isa,AU,2020-12-23 17:20:44,-20.73,139.5,75.2,57,40,8.05
53,Esperance,AU,2020-12-23 17:20:44,-33.87,121.9,59.0,77,0,12.75
54,Pilar,BR,2020-12-23 17:16:05,-9.6,-35.96,82.4,65,75,13.87
55,Urumqi,CN,2020-12-23 17:20:44,43.8,87.6,-4.0,83,40,2.24
56,Bouafle,CI,2020-12-23 17:20:45,6.99,-5.74,87.8,62,40,4.7
57,College,US,2020-12-23 17:20:45,64.86,-147.8,24.8,79,90,3.29
58,Barrow,US,2020-12-23 17:18:15,71.29,-156.79,-7.6,76,90,10.29
59,Broken Hill,AU,2020-12-23 17:20:45,-31.95,141.43,66.2,39,4,2.68
60,Nouadhibou,MR,2020-12-23 17:20:46,20.93,-17.03,77.0,25,0,4.7
61,New Norfolk,AU,2020-12-23 17:20:46,-42.78,147.06,51.01,71,68,1.01
62,Burns Lake,CA,2020-12-23 17:20:46,54.23,-125.75,21.2,85,100,3.36
63,Khatanga,RU,2020-12-23 17:20:46,71.97,102.5,-26.73,86,55,7.2
64,Ust-Tsilma,RU,2020-12-23 17:20:46,65.44,52.15,-17.34,86,0,3.87
65,Hobart,AU,2020-12-23 17:20:18,-42.88,147.33,53.6,50,61,14.99
66,Arraial Do Cabo,BR,2020-12-23 17:20:47,-22.97,-42.03,77.0,94,90,9.17
67,Bambous Virieux,MU,2020-12-23 17:20:47,-20.34,57.76,79.0,83,75,13.87
68,Tasiilaq,GL,2020-12-23 17:20:48,65.61,-37.64,24.8,85,90,27.51
69,Cape Town,ZA,2020-12-23 17:16:59,-33.93,18.42,72.0,77,75,10.29
